ProbeSet_ID,Gene_Symbol,Gene_Description,NCBI_ID,FC,P.Value,adj.P.Val,mean_naive,mean_6d,
10385570,Gm12191,ribosomal protein L30,19946,2.745,8.65160385970723e-08,3.73683312637129e-06,6663,2427,
10451879,Zfp119a,zinc finger protein 119,104349,2.738,1.06355958807496e-06,2.99490704644032e-05,78,28,
10502417,2410002F23Rik,RIKEN cDNA 2410002F23 gene,66976,2.726,1.14957709793155e-06,3.17977363314652e-05,450,165,
10417183,Pcca,propionyl-Coenzyme A carboxylase alpha polypeptide,110821,2.722,1.2668269752947e-06,3.44670981204087e-05,248,91,
10495193,Kcna2,potassium voltage-gated channel shaker-related subfamily member 2,16490,2.715,9.7571563603896e-08,4.14255282476371e-06,242,89,
10396699,Fntb,farnesyltransferase CAAX box beta,110606,2.712,4.72616864112916e-07,1.53968071731008e-05,220,81,
10594946,Rpl36,ribosomal protein L36,54217,2.71,1.47600174341099e-07,5.77471200145821e-06,2421,893,
10483828,Pde11a,phosphodiesterase 11A,241489,2.701,5.5140628748995e-08,2.59775945119556e-06,140,52,
10397699,Gm12191,ribosomal protein L30,19946,2.697,1.00333145912092e-07,4.23096897194782e-06,7803,2893,
10375501,Snord95,,NA,2.695,2.51729845362392e-07,9.15531098369747e-06,481,179,
10369702,Tet1,tet oncogene 1,52463,2.687,2.8240993608993e-07,1.00546006103332e-05,260,97,
10527233,Cyth3,cytohesin 3,19159,2.687,6.21154912977824e-07,1.94233660492262e-05,243,90,
10584941,Bace1,beta-site APP cleaving enzyme 1,23821,2.674,5.22660716427157e-08,2.4763783982505e-06,266,99,
10558910,Rangrf,RAN guanine nucleotide release factor,57785,2.673,4.24671664694016e-07,1.40927659487407e-05,273,102,
10552088,Gm10640,predicted gene 10640,100038516,2.662,6.62571756962829e-07,2.04755108380032e-05,147,55,
10538206,Ccdc126,coiled-coil domain containing 126,57895,2.661,3.04249465612604e-07,1.0724901247521e-05,168,63,
10401244,Actn1,actinin alpha 1,109711,2.659,2.34782510141838e-07,8.59214349156371e-06,1831,689,
10382369,Rpl38,ribosomal protein L38,67671,2.658,7.97125483818682e-08,3.4975283992481e-06,4312,1622,
10600027,Gm12191,ribosomal protein L30,19946,2.655,1.13529559455978e-07,4.68441006748655e-06,4750,1789,
10500683,Rangrf,RAN guanine nucleotide release factor,57785,2.653,3.82472361500848e-07,1.29159569015232e-05,293,110,
10402512,Scarna13,,NA,2.646,1.16815123985243e-07,4.78701759903962e-06,385,145,
10399882,Dus4l,dihydrouridine synthase 4-like (S. cerevisiae),71916,2.644,1.83135422810533e-06,4.68854439622494e-05,173,65,
10444223,H2-Oa,histocompatibility 2 O region alpha locus,15001,2.64,1.04629780301939e-07,4.37513990718949e-06,212,80,
10373702,Pisd-ps1,phosphatidylserine decarboxylase pseudogene 1,236604,2.626,1.3854946697052e-06,3.70883975922588e-05,579,220,
10499198,Gm12191,ribosomal protein L30,19946,2.625,1.47107990847921e-07,5.7645052640124e-06,7385,2813,
10433562,Gm12191,ribosomal protein L30,19946,2.619,1.9887132943363e-07,7.45303950698485e-06,6389,2439,
10584435,Vwa5a,von Willebrand factor A domain containing 5A,67776,2.618,3.02496785701853e-07,1.06782222284158e-05,273,104,
10555011,Nars2,asparaginyl-tRNA synthetase 2 (mitochondrial)(putative),244141,2.616,1.28407835306622e-06,3.47845659946918e-05,262,100,
10426535,Fam113b,adhesion molecule with Ig like domain 2,105827,2.611,3.2976062934308e-07,1.14460924853597e-05,504,193,
10534202,Ncf1,neutrophil cytosolic factor 1,17969,2.61,2.06752375881769e-07,7.65628931905714e-06,407,156,
10506134,Atg4c,autophagy-related 4C (yeast),242557,2.606,3.50741173881495e-07,1.20236197186721e-05,48,18,
10431463,Fam116b,family with sequence similarity 116 member B,69440,2.601,1.1477575955092e-07,4.72020046126739e-06,168,65,
10430431,Gm10866,predicted gene 10866,100038696,2.593,1.700346246727e-06,4.42338508986747e-05,318,123,
10555438,Fchsd2,FCH and double SH3 domains 2,207278,2.588,1.90025127285434e-07,7.14299581026785e-06,712,275,
10552030,Gapdhs,glyceraldehyde-3-phosphate dehydrogenase spermatogenic,14447,2.579,2.97319855801407e-07,1.05402637927207e-05,221,86,
10396079,Klhdc1,kelch domain containing 1,271005,2.575,1.65836005837284e-06,4.33679426807639e-05,319,124,
10471814,Gpr21,G protein-coupled receptor 21,338346,2.568,1.0211639358879e-06,2.90850829830836e-05,63,24,
10424213,Zhx2,zinc fingers and homeoboxes 2,387609,2.568,4.45179733376899e-07,1.46756207873268e-05,369,144,
10585874,Hexa,hexosaminidase A,15211,2.561,1.87334664769126e-07,7.06316870707437e-06,349,136,
10369690,Tet1,tet oncogene 1,52463,2.551,1.32964076536765e-06,3.5862886530836e-05,195,77,
10549802,Rps18,ribosomal protein S18,20084,2.546,2.60390380147966e-07,9.39138792192128e-06,3262,1281,
10369290,Ddit4,DNA-damage-inducible transcript 4,74747,2.543,7.87720244589098e-07,2.36240239899513e-05,526,207,
10580061,Il27ra,interleukin 27 receptor alpha,50931,2.541,1.69934844196595e-07,6.48562968923053e-06,1714,675,
10409968,Rps18,ribosomal protein S18,20084,2.531,2.04165221644697e-07,7.57173460391242e-06,4455,1761,
10567355,Gprc5b,G protein-coupled receptor family C group 5 member B,64297,2.53,2.59971857208881e-07,9.38988206573875e-06,97,38,
10352092,Zfp238,zinc finger protein 238,30928,2.53,7.94564875309247e-07,2.37720838204767e-05,201,79,
10432573,Slc11a2,solute carrier family 11 (proton-coupled divalent metal ion transporters) member 2,18174,2.529,3.93218041912994e-07,1.31717473663382e-05,577,228,
10515383,Rpl36,ribosomal protein L36,54217,2.526,3.68294080653978e-07,1.248792527627e-05,2421,958,
10363735,Egr2,early growth response 2,13654,2.526,9.44126964030144e-07,2.74556968466269e-05,172,68,
10347748,Acsl3,acyl-CoA synthetase long-chain family member 3,74205,2.521,1.34591603943646e-07,5.34122922529226e-06,72,29,
10367960,Pex3,peroxisomal biogenesis factor 3,56535,2.518,7.98357072539363e-07,2.38569004338441e-05,446,177,
10479749,Rpp38,ribonuclease P/MRP 38 subunit (human),227522,2.517,9.88468111910992e-07,2.82831254707758e-05,331,132,
10378088,Mybbp1a,MYB binding protein (P160) 1a,18432,2.51,1.13093134482901e-06,3.13864932915685e-05,1138,453,
10434733,Eif4a2,eukaryotic translation initiation factor 4A2,13682,2.506,3.12851540220039e-07,1.09750248623976e-05,2124,847,
10546510,Lrig1,leucine-rich repeats and immunoglobulin-like domains 1,16206,2.502,2.01108013065137e-07,7.51361662426395e-06,145,58,
10430649,Cbx7,chromobox homolog 7,52609,2.498,5.7574487358962e-07,1.82786162287905e-05,675,270,
10603208,Mid1,midline 1,17318,2.475,1.33110406852114e-07,5.29087330074703e-06,283,114,
10418480,Gnl3,guanine nucleotide binding protein-like 3 (nucleolar),30877,2.471,6.19989592204508e-07,1.94112821820613e-05,430,174,
10586591,Car12,carbonic anyhydrase 12,76459,2.466,9.24303139632877e-07,2.70052553879608e-05,126,51,
10499748,Rps27,ribosomal protein S27,57294,2.462,3.22607539689982e-07,1.12134241341056e-05,10358,4207,
10360563,Smyd3,SET and MYND domain containing 3,69726,2.461,2.64270445945119e-07,9.5038211455184e-06,342,139,
10368647,Dse,dermatan sulfate epimerase,212898,2.457,1.14621207923409e-07,4.72020046126739e-06,332,135,
10528090,Rundc3b,RUN domain containing 3B,242819,2.449,8.16722610280405e-07,2.4271800516027e-05,397,162,
10346328,Mars2,methionine-tRNA synthetase 2 (mitochondrial),212679,2.442,3.32181924638794e-07,1.14793641560451e-05,464,190,
10410995,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,19418,2.43,6.63839690117428e-07,2.04755108380032e-05,67,28,
10479463,Slc17a9,solute carrier family 17 member 9,228993,2.427,7.52342604857752e-07,2.28378591939889e-05,617,254,
10365098,Tbxa2r,thromboxane A2 receptor,21390,2.418,3.13987349606352e-07,1.09750248623976e-05,439,181,
10420035,Ipo4,importin 4,75751,2.413,4.65306761510448e-07,1.51983946400569e-05,418,173,
10451039,Slc25a27,solute carrier family 25 member 27,74011,2.404,2.52037556685572e-07,9.15531098369747e-06,177,74,
10462346,Rcl1,RNA terminal phosphate cyclase-like 1,59028,2.399,3.66448828102792e-07,1.24422856866182e-05,373,155,
10454782,Egr1,early growth response 1,13653,2.397,8.32571929637106e-07,2.46429425539382e-05,173,72,
10411393,Rps18,ribosomal protein S18,20084,2.394,2.77854270449907e-07,9.92075089993205e-06,6300,2632,
10371293,1190007I07Rik,RIKEN cDNA 1190007I07 gene,544717,2.393,3.40068436489868e-07,1.17222483737213e-05,200,84,
10372583,Rab3ip,RAB3A interacting protein,216363,2.389,1.08368734269267e-06,3.03456808478503e-05,470,197,
10446713,Snord53,small nucleolar RNA C/D box 53,100217456,2.385,4.55179593205971e-07,1.49066830773708e-05,326,137,
10360934,Rrp15,ribosomal RNA processing 15 homolog (S. cerevisiae),67223,2.384,2.66527871007964e-07,9.57119250902086e-06,288,121,
10436500,Gbe1,glucan (14-alpha-) branching enzyme 1,74185,2.376,1.24122002078267e-06,3.39557468254068e-05,261,110,
10482177,Strbp,spermatid perinuclear RNA binding protein,20744,2.372,1.53235820027335e-06,4.05407973112657e-05,106,45,
10435443,Hspbap1,Hspb associated protein 1,66667,2.367,2.00805058413712e-07,7.51361662426395e-06,284,120,
10569485,Tnfrsf26,tumor necrosis factor receptor superfamily member 26,244237,2.367,2.44003261505677e-07,8.89042292872002e-06,677,286,
10546661,Foxp1,forkhead box P1,108655,2.365,1.06170625009903e-06,2.99319492816381e-05,1318,557,
10517301,Ldlrap1,low density lipoprotein receptor adaptor protein 1,100017,2.36,9.62426814874717e-07,2.77611123614673e-05,582,247,
10488090,Tasp1,taspase threonine aspartase 1,75812,2.358,7.73958936662887e-07,2.33518215732596e-05,268,114,
10365870,Nr2c1,nuclear receptor subfamily 2 group C member 1,22025,2.35,3.20109803326238e-07,1.11498818978221e-05,159,68,
10569494,Tnfrsf22,tumor necrosis factor receptor superfamily member 22,79202,2.348,4.69397679793668e-07,1.53119489212275e-05,318,136,
10453178,Map4k3,mitogen-activated protein kinase kinase kinase kinase 3,225028,2.342,9.51606592977539e-07,2.75766738490538e-05,106,45,
10557035,Polr3e,polymerase (RNA) III (DNA directed) polypeptide E,26939,2.341,8.43978545107643e-07,2.49213664705837e-05,416,178,
10479979,Slc25a36,solute carrier family 25 member 36,192287,2.339,4.74290821118545e-07,1.54311695090292e-05,762,326,
10418702,Sh3bp5,SH3-domain binding protein 5 (BTK-associated),24056,2.339,3.62825115775358e-07,1.23360539363622e-05,402,172,
10562260,Gramd1a,GRAM domain containing 1A,52857,2.334,5.52682436177882e-07,1.76137489442777e-05,2582,1106,
10501879,Usp53,ubiquitin specific peptidase 53,99526,2.332,1.80485884585187e-06,4.65157106063291e-05,323,138,
10502934,Rabggtb,RAB geranylgeranyl transferase b subunit,19352,2.33,1.42723444851348e-06,3.81239838788609e-05,813,349,
10450063,Rps18,ribosomal protein S18,20084,2.329,5.20201823741284e-07,1.67283481952003e-05,5746,2467,
10570516,Kbtbd11,kelch repeat and BTB (POZ) domain containing 11,74901,2.324,1.36453629910022e-06,3.66059996191343e-05,654,281,
10600357,Taz,tafazzin,66826,2.321,2.22208674768778e-06,5.57692305396524e-05,491,212,
10597973,Lztfl1,leucine zipper transcription factor-like 1,93730,2.319,1.13453286711092e-06,3.14514217064944e-05,487,210,
10368928,Rpl41,ribosomal protein L41,67945,2.319,9.37421322878202e-07,2.73244610628895e-05,4177,1801,
10588283,Rab6b,RAB6B member RAS oncogene family,270192,2.311,2.1543252863684e-06,5.42872545873339e-05,227,98,
10581535,Rps18,ribosomal protein S18,20084,2.307,5.50237162983444e-07,1.75582721842169e-05,5183,2247,
10356628,Hdac4,histone deacetylase 4,208727,2.306,1.06471697421801e-06,2.99490704644032e-05,473,205,
10364766,Rps15,ribosomal protein S15,20054,2.302,4.58724948488558e-07,1.50030750213016e-05,4307,1871,
10513878,Rps18,ribosomal protein S18,20084,2.3,5.2925743829105e-07,1.69348317411474e-05,5560,2417,
10474836,Ivd,isovaleryl coenzyme A dehydrogenase,56357,2.299,3.91418528993417e-07,1.31291151811224e-05,404,176,
10406024,Rps28,ribosomal protein S28,54127,2.298,1.00564512067202e-06,2.86758440473547e-05,2269,987,
10414269,Bnip3,BCL2/adenovirus E1B interacting protein 3,12176,2.294,8.71866096209209e-07,2.56536562570554e-05,61,26,
10530319,Atp8a1,ATPase aminophospholipid transporter (APLT) class I type 8A member 1,11980,2.294,1.20280734995767e-06,3.30500162906782e-05,446,195,
10417734,Nr1d2,nuclear receptor subfamily 1 group D member 2,353187,2.293,1.50195395872271e-06,3.97786360885093e-05,300,131,
10444752,Ltb,lymphotoxin B,16994,2.292,2.24766960012329e-06,5.62413873235669e-05,1785,779,
10469167,Sfmbt2,Scm-like with four mbt domains 2,353282,2.289,9.06373981228349e-07,2.65436572975005e-05,98,43,
10546079,Cnbp,cellular nucleic acid binding protein,12785,2.28,7.77404455053461e-07,2.33845775045214e-05,2347,1030,
10597490,Rps27,ribosomal protein S27,57294,2.272,7.88740429759095e-07,2.36261886904521e-05,7796,3431,
10442396,Abca3,ATP-binding cassette sub-family A (ABC1) member 3,27410,2.271,8.86662008031852e-07,2.59969300754939e-05,325,143,
10394054,Cd7,CD7 antigen,12516,2.269,1.82540321247488e-06,4.68031881289084e-05,1368,603,
10417027,Cldn10,claudin 10,58187,2.268,1.81123824412602e-06,4.65357520825864e-05,59,26,
10378833,Ssh2,slingshot homolog 2 (Drosophila),237860,2.268,1.25153408984775e-06,3.41443749820243e-05,1258,555,
10493120,Gpatch4,G patch domain containing 4,66614,2.265,5.56270432906838e-07,1.77054555924703e-05,275,121,
10578613,Rps16,ribosomal protein S16,20055,2.263,4.51524272237505e-07,1.48259392789237e-05,8268,3653,
10450103,H2-Ke6,H2-K region expressed gene 6,14979,2.26,1.11515602046713e-06,3.10263243226831e-05,412,182,
10404612,Rreb1,ras responsive element binding protein 1,68750,2.259,2.07915455581516e-06,5.24878241772976e-05,435,192,
10404354,Rps18,ribosomal protein S18,20084,2.259,7.7390148557294e-07,2.33518215732596e-05,5067,2243,
10435980,Rps24,ribosomal protein S24,20088,2.255,6.33066437293255e-07,1.97462850440832e-05,2979,1321,
10399696,Rnf144a,ring finger protein 144A,108089,2.249,2.00151698530066e-06,5.07444621644589e-05,548,244,
10350331,Zfp281,zinc finger protein 281,226442,2.226,1.62722859801277e-06,4.26882011786043e-05,617,277,
10607877,Prps2,phosphoribosyl pyrophosphate synthetase 2,110639,2.224,7.0686248092789e-07,2.16418019037898e-05,737,331,
10358191,Camsap1l1,calmodulin regulated spectrin-associated protein 1-like 1,67886,2.221,1.48357946837146e-06,3.95018883661896e-05,343,155,
10423333,Fam134b,family with sequence similarity 134 member B,66270,2.213,7.4282072347636e-07,2.25763147200949e-05,490,222,
10581495,Rplp1,ribosomal protein large P1,56040,2.21,7.36170103378177e-07,2.24211302351631e-05,3750,1697,
10514956,Scp2,sterol carrier protein 2 liver,20280,2.208,1.02959481808488e-06,2.92583375784623e-05,223,101,
10450640,Mrps18b,mitochondrial ribosomal protein S18B,66973,2.206,1.74147106189099e-06,4.51306957135887e-05,718,325,
10489235,9430008C03Rik,RIKEN cDNA 9430008C03 gene,68108,2.206,1.05346167132682e-06,2.97791920462686e-05,264,120,
10526250,Abhd11,abhydrolase domain containing 11,68758,2.195,6.55616032275577e-07,2.02972208153689e-05,312,142,
10410124,Ctsl,cathepsin L,13039,2.194,9.85178743541914e-07,2.82538833677233e-05,148,67,
10450363,Snord52,small nucleolar RNA C/D box 52,100217427,2.194,1.77356668596204e-06,4.58514823107323e-05,69,31,
10427454,Card6,caspase recruitment domain family member 6,239319,2.192,1.08924308087576e-06,3.0435378574212e-05,431,197,
10486029,Atpbd4,ATP binding domain 4,66632,2.189,1.71464833863553e-06,4.45594013508599e-05,360,165,
10576482,Arv1,ARV1 homolog (yeast),68865,2.189,1.67060513262795e-06,4.36423701418801e-05,244,112,
10515242,Nsun4,NOL1/NOP2/Sun domain family member 4,72181,2.185,9.68857122210901e-07,2.78638048574532e-05,226,104,
10348076,Rpl30-ps6,ribosomal protein L30 pseudogene,100040414,2.184,7.77859511726518e-07,2.33845775045214e-05,92,42,
10350046,Kdm5b,lysine (K)-specific demethylase 5B,75605,2.183,1.79801017929102e-06,4.64352432003014e-05,671,307,
10433311,Mgrn1,mahogunin ring finger 1,17237,2.178,1.19777562987728e-06,3.29480841587214e-05,305,140,
10503833,Rplp1,ribosomal protein large P1,56040,2.178,1.28153314073998e-06,3.47845659946918e-05,1249,573,
10534053,Rps16,ribosomal protein S16,20055,2.172,8.17111011674289e-07,2.4271800516027e-05,6431,2961,
10590381,Vipr1,vasoactive intestinal peptide receptor 1,22354,2.172,1.74914635788153e-06,4.52671085473764e-05,127,58,
10594248,Rplp1,ribosomal protein large P1,56040,2.167,1.11546371050173e-06,3.10263243226831e-05,8350,3854,
10606735,Armcx2,armadillo repeat containing X-linked 2,67416,2.165,1.06099228986402e-06,2.99319492816381e-05,159,74,
10585860,Adpgk,ADP-dependent glucokinase,72141,2.156,1.48614550332931e-06,3.9527981039459e-05,416,193,
10365971,Btg1,B-cell translocation gene 1 anti-proliferative,12226,2.152,1.08173318670212e-06,3.03456808478503e-05,4444,2065,
10561453,Zfp36,zinc finger protein 36,22695,2.146,1.17391465658303e-06,3.23990045087068e-05,837,390,
10436967,Cbr1,carbonyl reductase 1,12408,2.142,2.06136133424012e-06,5.2102684758552e-05,597,279,
10460385,Clcf1,cardiotrophin-like cytokine factor 1,56708,2.13,9.47799822594758e-07,2.75303813271638e-05,581,273,
10551489,Rps16,ribosomal protein S16,20055,2.119,1.03934172023176e-06,2.94681164409737e-05,6303,2975,
10400030,Bzw2,basic leucine zipper and W2 domains 2,66912,2.101,1.34054751612925e-06,3.60789688952193e-05,603,287,
10402262,Gm2695,predicted gene 2701,100040305,2.08,2.15885612167766e-06,5.43464770347986e-05,474,228,
10583496,Ppan,peter pan homolog (Drosophila),235036,2.04,1.83335844751238e-06,4.68854439622494e-05,355,174,
10405890,Rpl9,ribosomal protein L9,20005,2.039,1.68989779737499e-06,4.40540093160873e-05,7369,3614,
10526345,Nsun5,NOL1/NOP2/Sun domain family member 5,100609,2.008,2.24547811087221e-06,5.62413873235669e-05,175,87,
10542460,Dera,2-deoxyribose-5-phosphate aldolase homolog (C. elegans),232449,0.479,2.2693875158237e-06,5.66710177047679e-05,237,495,
10449575,Ppil1,peptidylprolyl isomerase (cyclophilin)-like 1,68816,0.478,2.30038702222434e-06,5.73876330008758e-05,151,315,
10444658,Clic1,chloride intracellular channel 1,114584,0.475,1.25222529225464e-06,3.41443749820243e-05,683,1438,
10586242,Dennd4a,DENN/MADD domain containing 4A,102442,0.474,1.62350225332495e-06,4.26353247179814e-05,294,619,
10506118,Usp1,ubiquitin specific peptidase 1,230484,0.472,2.2145911702771e-06,5.56371382516591e-05,325,688,
10504730,Anp32b,acidic (leucine-rich) nuclear phosphoprotein 32 family member B,67628,0.471,1.60046150113556e-06,4.21190090087649e-05,823,1745,
10396108,Arf6,ADP-ribosylation factor 6,11845,0.471,1.21049067361225e-06,3.31879522197629e-05,2013,4273,
10345423,Plekhb2,pleckstrin homology domain containing family B (evectins) member 2,226971,0.47,1.04106466101044e-06,2.94834244110252e-05,460,978,
10467230,Ide,insulin degrading enzyme,15925,0.47,1.56476966172619e-06,4.12668672058625e-05,476,1013,
10498367,P2ry13,purinergic receptor P2Y G-protein coupled 13,74191,0.467,1.64398977867788e-06,4.30373038489602e-05,29,62,
10354494,Nab1,Ngfi-A binding protein 1,17936,0.467,1.22240064885484e-06,3.34776582096267e-05,454,973,
10364262,Itgb2,integrin beta 2,16414,0.465,7.64108045133297e-07,2.31105591029272e-05,2085,4485,
10465912,Fen1,flap structure specific endonuclease 1,14156,0.464,1.26222216120742e-06,3.43793450290833e-05,145,312,
10580300,Asna1,arsA arsenite transporter ATP-binding homolog 1 (bacterial),56495,0.464,9.78099374037115e-07,2.80831711978721e-05,447,962,
10557992,Bag3,BCL2-associated athanogene 3,29810,0.464,2.08081094162467e-06,5.24878241772976e-05,57,124,
10601449,Sh3bgrl,SH3-binding domain glutamic acid-rich protein like,56726,0.464,8.79187086245826e-07,2.58385619851633e-05,334,720,
10438109,Ube2l3,ubiquitin-conjugating enzyme E2L 3,22195,0.461,9.66933427980137e-07,2.78588611469607e-05,451,979,
10367945,Phactr2,phosphatase and actin regulator 2,215789,0.46,1.89999216727553e-06,4.83179640743272e-05,36,79,
10353533,Smap1,stromal membrane-associated protein 1,98366,0.458,1.42724006736928e-06,3.81239838788609e-05,518,1130,
10448878,Baiap3,BAI1-associated protein 3,545192,0.456,1.31452698469027e-06,3.55321491458253e-05,168,367,
10471945,Gm13476,zinc finger E-box binding homeobox 2,24136,0.455,6.11208558693359e-07,1.91845588158135e-05,34,76,
10579347,Ifi30,interferon gamma inducible protein 30,65972,0.452,2.03622582677449e-06,5.15196142689074e-05,200,443,
10597182,Nbeal2,neurobeachin-like 2,235627,0.452,1.63115093804611e-06,4.27461027108152e-05,496,1099,
10574308,Katnb1,katanin p80 (WD40-containing) subunit B 1,74187,0.45,5.97411090473175e-07,1.87751313956778e-05,255,567,
10463695,2010012O05Rik,RIKEN cDNA 2010012O05 gene,66439,0.45,7.01771699086944e-07,2.15123668937821e-05,47,105,
10399924,Pik3cg,phosphoinositide-3-kinase catalytic gamma polypeptide,30955,0.448,8.1399897939168e-07,2.42371356802861e-05,490,1093,
10504743,Nans,N-acetylneuraminic acid synthase (sialic acid synthase),94181,0.448,1.3505289120958e-06,3.62692689086762e-05,268,598,
10594561,Trip4,thyroid hormone receptor interactor 4,56404,0.448,4.4327253122848e-07,1.46321033420877e-05,228,508,
10568174,Spn,sialophorin,20737,0.447,6.98632896363937e-07,2.14622252967867e-05,1067,2385,
10396712,Fut8,fucosyltransferase 8,53618,0.446,1.13746015503124e-06,3.14975355374318e-05,175,392,
10465185,Ehbp1l1,EH domain binding protein 1-like 1,114601,0.446,5.87128836818787e-07,1.8521444250536e-05,137,307,
10595718,Chst2,carbohydrate sulfotransferase 2,54371,0.445,6.86850099888359e-07,2.11329360363181e-05,86,193,
10430344,Il2rb,interleukin 2 receptor beta chain,16185,0.445,1.8865046150246e-06,4.80239714153658e-05,1120,2519,
10605256,Flna,filamin alpha,192176,0.444,8.25846259856294e-07,2.45020720096888e-05,1827,4118,
10569319,Ctsd,cathepsin D,13033,0.442,6.26641845659626e-07,1.95703860620667e-05,2057,4657,
10586907,Mns1,meiosis-specific nuclear structural protein 1,17427,0.44,2.01875588759943e-06,5.11295063320661e-05,69,156,
10428561,Rad21,RAD21 homolog (S. pombe),19357,0.439,5.23530554270157e-07,1.67974207872883e-05,971,2211,
10493995,S100a10,S100 calcium binding protein A10 (calpactin),20194,0.439,5.23697775127319e-07,1.67974207872883e-05,2436,5556,
10568221,Sephs2,selenophosphate synthetase 2,20768,0.437,1.34512989430305e-06,3.61632440407988e-05,170,389,
10574096,Ap3s1,adaptor-related protein complex 3 sigma 1 subunit,11777,0.437,1.15809383139308e-06,3.19977987427698e-05,562,1288,
10512136,Bag1,BCL2-associated athanogene 1,12017,0.436,1.73928423435918e-06,4.51306957135887e-05,251,575,
10522009,Pgm1,phosphoglucomutase 1,66681,0.436,5.29340900664226e-07,1.69348317411474e-05,208,477,
10436402,Cldnd1,claudin domain containing 1,224250,0.434,4.00355073429035e-07,1.33331318195951e-05,483,1112,
10373583,Gdf11,growth differentiation factor 11,14561,0.433,1.80468776651126e-06,4.65157106063291e-05,118,273,
10557591,Itgal,integrin alpha L,16408,0.433,4.85614006560587e-07,1.57174964564973e-05,1777,4109,
10571911,2700029M09Rik,RIKEN cDNA 2700029M09 gene,72612,0.432,1.69669368676707e-06,4.41849530424335e-05,224,518,
10455542,Ap3s1,adaptor-related protein complex 3 sigma 1 subunit,11777,0.431,1.2824768202821e-06,3.47845659946918e-05,327,759,
10376455,Hist3h2a,histone cluster 3 H2a,319162,0.431,2.83528875716893e-07,1.00800380037324e-05,230,534,
10604230,Ap3s1,adaptor-related protein complex 3 sigma 1 subunit,11777,0.43,8.35884310173173e-07,2.47116355612525e-05,372,867,
10592023,Aplp2,amyloid beta (A4) precursor-like protein 2,11804,0.427,1.05389805733123e-06,2.97791920462686e-05,297,696,
10591369,Dnmt1,DNA methyltransferase (cytosine-5) 1,13433,0.425,3.74699342567432e-07,1.26706336709166e-05,721,1696,
10588482,Poc1a,WD repeat domain 51A,70235,0.424,4.50800320682446e-07,1.48216960317255e-05,60,142,
10538356,Chn2,chimerin (chimaerin) 2,69993,0.424,6.99274815062626e-07,2.14622252967867e-05,54,126,
10419296,Wdhd1,WD repeat and HMG-box DNA binding protein 1,218973,0.423,1.83425519072278e-06,4.68854439622494e-05,172,405,
10497503,Kpna2,karyopherin (importin) alpha 2,16647,0.423,1.81023913849077e-06,4.65357520825864e-05,236,557,
10486396,Ehd4,EH-domain containing 4,98878,0.422,1.5400954225498e-06,4.07022885692323e-05,97,231,
10371482,Hsp90b1,heat shock protein 90 beta (Grp94) member 1,22027,0.419,1.1265897879762e-06,3.13008591928015e-05,1460,3483,
10393844,Thoc4,THO complex 4,21681,0.417,1.75063396384491e-07,6.65080787300958e-06,468,1124,
10459755,Ska1,RIKEN cDNA 2810433K01 gene,66468,0.416,3.59552083277712e-07,1.22509529767514e-05,25,60,
10366554,Mdm1,transformed mouse 3T3 cell double minute 1,17245,0.416,8.00229093966863e-07,2.38842029698708e-05,90,216,
10466925,Ak3,adenylate kinase 3,56248,0.416,3.90384546290976e-07,1.31291151811224e-05,478,1148,
10474437,Ccdc34,coiled-coil domain containing 34,68201,0.416,1.19087051458903e-06,3.27943369774451e-05,61,146,
10402490,4831426I19Rik,RIKEN cDNA 4831426I19 gene,212073,0.415,1.4744440769184e-06,3.93006366684067e-05,99,237,
10464128,Casp7,caspase 7,12369,0.415,3.13798100041251e-07,1.09750248623976e-05,153,369,
10518847,Phf13,PHD finger protein 13,230936,0.415,3.51402989822654e-07,1.20297600444508e-05,135,325,
10599200,Pgrmc1,progesterone receptor membrane component 1,53328,0.415,1.00464904928212e-06,2.86758440473547e-05,111,267,
10438098,Sdf2l1,stromal cell-derived factor 2-like 1,64136,0.415,2.26192418538026e-06,5.6541298443377e-05,166,401,
10485378,Prr5l,proline rich 5 like,72446,0.411,5.95194649621304e-07,1.87290922447754e-05,21,51,
10587792,Plscr1,phospholipid scramblase 1,22038,0.411,1.72316511100964e-07,6.55644593840952e-06,90,220,
10352709,Nsl1,NSL1 MIND kinetochore complex component homolog (S. cerevisiae),381318,0.41,1.03163785004131e-06,2.92830051238377e-05,68,166,
10399965,F730043M19Rik,RIKEN cDNA F730043M19 gene,320046,0.409,3.13336517674e-07,1.09750248623976e-05,65,159,
10529299,Slbp,stem-loop binding protein,20492,0.409,1.90713299850775e-06,4.84501208856372e-05,276,675,
10449303,Bak1,BCL2-antagonist/killer 1,12018,0.409,8.1399493309406e-07,2.42371356802861e-05,258,629,
10538420,Gars,glycyl-tRNA synthetase,353172,0.409,1.46967282928838e-07,5.7645052640124e-06,512,1253,
10372082,Nudt4,nudix (nucleoside diphosphate linked moiety X)-type motif 4,71207,0.409,5.87852596187063e-07,1.8521444250536e-05,176,431,
10428302,Klf10,Kruppel-like factor 10,21847,0.408,3.17845176903057e-07,1.10943102223781e-05,107,263,
10552406,Nkg7,natural killer cell group 7 sequence,72310,0.408,2.58614315946203e-07,9.36800288083034e-06,2536,6223,
10403108,Hmgn2,high mobility group nucleosomal binding domain 2,15331,0.407,3.00881012029428e-07,1.06362504706346e-05,1295,3185,
